id,trip_id,stop_number,nass_code,facility,arrive_time,load_unload,depart_time,vehicle,freq,freq_days,eff_date,exp_date,trip_miles,trip_hrs,drive_time
52,22,2,030,MANCHESTER,19:00:00 ET,15 min,19:15:00 ET,,,0.0,0,,0.0,0.0,0.0
53,23,1,030,MANCHESTER,17:15:00 ET,15 min,17:30:00 ET,45FT,,0.0,0,,18.7,1.05,0.65
54,23,2,03060,NASHUA,18:09:00 ET,15 min,18:18:00 ET,,,0.0,0,,0.0,0.0,0.0
55,24,1,03060,NASHUA,18:19:00 ET,15 min,18:34:00 ET,45FT,,0.0,0,,17.3,1.27,0.77
56,24,2,030,MANCHESTER,19:20:00 ET,15 min,19:35:00 ET,,,0.0,0,,0.0,0.0,0.0
57,25,1,030,MANCHESTER,03:55:00 ET,15 min,18:10:00 ET,45FT,,0.0,0,,9.9,0.65,0.25
58,25,2,03054,MERRIMACK,04:25:00 ET,15 min,18:34:00 ET,,,0.0,0,,0.0,0.0,0.0
59,26,1,03054,MERRIMACK,04:34:00 ET,15 min,18:40:00 ET,45FT,,0.0,0,,9.4,0.77,0.42
60,26,2,030,MANCHESTER,05:05:00 ET,15 min,18:20:00 ET,,,0.0,0,,0.0,0.0,0.0
61,27,1,030,MANCHESTER,10:15:00 ET,15 min,18:30:00 ET,45FT,,0.0,0,,41.9,2.93,2.03
62,27,2,03054,MERRIMACK,10:51:00 ET,15 min,18:00:00 ET,,,0.0,0,,0.0,0.0,0.0
63,27,3,03060,NASHUA,11:30:00 ET,9 min,11:39:00 ET,,,0.0,0,,0.0,0.0,0.0
64,27,4,03051,HUDSON,12:10:00 ET,9 min,12:19:00 ET,,,0.0,0,,0.0,0.0,0.0
65,27,5,030HS,HUDSON MALL,12:30:00 ET,6 min,12:36:00 ET,,,0.0,0,,0.0,0.0,0.0
66,27,6,030NA,REGIONAL HOME CARE,13:05:00 ET,6 min,13:11:00 ET,,,0.0,0,,0.0,0.0,0.0
67,28,1,030NA,REGIONAL HOME CARE,13:12:00 ET,6 min,13:18:00 ET,24VN,235x,154.0,12/06/2024,06/30/2026,,,,
68,28,2,030,MANCHESTER,13:35:00 ET,15 min,13:50:00 ET,,,0.0,0,,5.3,0.63,0.28
69,29,1,030,MANCHESTER,10:15:00 ET,15 min,10:30:00 ET,24VN,,0.0,0,,48.7,3.15,2.05
70,29,2,03054,MERRIMACK,10:51:00 ET,9 min,11:00:00 ET,,,0.0,0,,0.0,0.0,0.0
